timestamp,grid_activepower,wind_speed,Theoretical_Power_Curve
03 01 2025 22:10,121.88,2.02,0.0
03 01 2025 22:40,110.13,6.37,181.18
03 01 2025 22:50,67.06,6.04,133.43
03 01 2025 23:00,2640.5,11.75,3171.2
03 01 2025 23:20,-1.59,2.26,0.0
03 01 2025 23:30,1288.25,9.8,1486.52
03 01 2025 23:40,355.47,7.1,325.08
03 01 2025 23:50,150.8,6.2,155.19
04 01 2025 00:00,421.3,7.46,418.55
04 01 2025 00:10,245.65,6.78,255.77
04 01 2025 00:20,-5.0,3.5,0.59
04 01 2025 00:30,62.21,3.98,4.43
04 01 2025 00:40,935.91,9.21,1134.91
04 01 2025 00:50,-5.0,2.68,0.0
04 01 2025 01:10,166.38,5.71,94.59
04 01 2025 01:30,118.39,4.98,36.58
04 01 2025 01:50,28.61,3.62,1.12
04 01 2025 02:00,834.28,8.76,906.2
04 01 2025 02:10,434.71,7.71,495.19
04 01 2025 02:20,2403.49,11.5,2908.58
04 01 2025 02:30,1305.61,9.86,1526.17
04 01 2025 02:40,22.18,5.23,52.71
04 01 2025 02:50,283.56,7.03,309.68
04 01 2025 03:00,56.53,5.14,46.08
04 01 2025 03:10,169.28,6.67,234.87
04 01 2025 03:20,-5.0,2.49,0.0
04 01 2025 03:30,2887.11,11.53,2934.21
04 01 2025 03:50,389.26,11.02,2436.92
04 01 2025 04:00,-5.0,4.01,4.88
04 01 2025 04:10,48.51,5.44,68.72
04 01 2025 04:20,71.93,5.5,74.11
04 01 2025 04:30,-5.0,2.92,0.0
04 01 2025 04:40,156.87,5.88,113.4
04 01 2025 04:50,456.24,7.97,582.1
04 01 2025 05:00,21.26,2.13,0.0
04 01 2025 05:10,1698.74,10.48,1979.6
04 01 2025 05:20,3203.52,12.05,3450.0
04 01 2025 05:30,2598.01,12.09,3450.0
04 01 2025 05:50,900.68,9.25,1157.71
04 01 2025 06:10,121.36,5.16,47.95
04 01 2025 06:20,38.27,3.57,0.89
04 01 2025 06:30,124.59,6.13,144.97
04 01 2025 06:40,108.35,8.45,766.81
04 01 2025 06:50,-5.0,1.59,0.0
04 01 2025 07:00,3163.88,15.08,3450.0
04 01 2025 07:10,2265.84,11.65,3063.86
04 01 2025 07:20,1644.12,10.25,1805.61
04 01 2025 07:30,2028.82,11.21,2615.78
04 01 2025 07:40,116.96,5.38,63.83
04 01 2025 07:50,143.03,6.55,212.25
04 01 2025 08:00,2.93,1.88,0.0
04 01 2025 08:10,496.22,7.75,507.07
04 01 2025 08:30,3.38,3.01,0.0
04 01 2025 08:40,38.02,0.36,0.0
04 01 2025 08:50,-5.0,3.37,0.24
04 01 2025 09:00,73.09,6.53,208.02
04 01 2025 09:10,312.4,7.39,400.42
04 01 2025 09:20,438.09,7.46,418.46
04 01 2025 09:30,956.97,9.54,1325.1
04 01 2025 09:40,-5.0,4.77,26.02
04 01 2025 09:50,156.23,5.0,37.88
04 01 2025 10:00,2956.65,12.45,3450.0
04 01 2025 10:10,1142.87,9.51,1306.33
04 01 2025 10:30,1583.11,10.32,1853.42
04 01 2025 10:40,2568.52,20.24,3450.0
04 01 2025 10:50,2982.81,13.66,3450.0
04 01 2025 11:00,3151.08,14.34,3450.0
04 01 2025 11:10,3139.93,16.78,3450.0
04 01 2025 11:30,321.36,7.72,498.28
04 01 2025 11:40,230.84,6.69,238.3
04 01 2025 11:50,-5.0,1.33,0.0
04 01 2025 12:00,455.25,10.47,1972.04
04 01 2025 12:10,2877.71,13.86,3450.0
04 01 2025 12:20,342.88,7.48,426.44
04 01 2025 12:30,-5.0,2.4,0.0
04 01 2025 12:40,-1.51,3.92,3.63
04 01 2025 12:50,-5.0,2.55,0.0
04 01 2025 13:00,207.31,6.84,268.84
04 01 2025 13:10,1313.59,9.64,1384.32
04 01 2025 13:20,2415.66,11.3,2707.18
04 01 2025 13:30,2364.74,11.14,2556.02
04 01 2025 13:40,19.96,2.07,0.0
04 01 2025 13:50,-5.0,4.96,35.8
04 01 2025 14:00,72.22,3.33,0.17
04 01 2025 14:10,221.47,6.65,230.2
04 01 2025 14:20,797.03,11.76,3185.01
04 01 2025 14:30,-5.0,3.06,0.0
04 01 2025 14:40,2903.24,13.71,3450.0
04 01 2025 14:50,661.78,8.49,781.87
04 01 2025 15:00,56.96,3.26,0.09
04 01 2025 15:10,-5.0,2.99,0.0
04 01 2025 15:20,-5.0,2.33,0.0
04 01 2025 15:30,-5.0,1.06,0.0
04 01 2025 15:40,3237.64,15.17,3450.0
04 01 2025 15:50,820.21,8.93,985.29
04 01 2025 16:00,1240.33,9.7,1421.01
04 01 2025 16:10,1047.43,9.08,1064.56
04 01 2025 16:20,3062.0,13.64,3450.0
04 01 2025 16:30,3083.01,22.28,3450.0
04 01 2025 16:40,-5.0,2.42,0.0
04 01 2025 16:50,494.93,8.19,660.68
04 01 2025 17:00,2611.61,11.16,2570.48
04 01 2025 17:20,1041.27,8.98,1013.38
04 01 2025 17:30,359.83,7.58,454.65
04 01 2025 18:00,2642.66,11.77,3188.44
04 01 2025 18:10,-5.0,1.79,0.0
04 01 2025 18:30,2588.15,13.85,3450.0
04 01 2025 18:40,2083.35,10.75,2202.68
04 01 2025 18:50,5.95,0.81,0.0
04 01 2025 19:00,2702.87,13.32,3450.0
04 01 2025 19:10,278.59,7.18,344.9
04 01 2025 19:20,1580.4,10.18,1752.2
04 01 2025 19:30,3088.93,15.33,3450.0
04 01 2025 19:40,-5.0,1.85,0.0
04 01 2025 19:50,67.42,2.53,0.0
04 01 2025 20:00,-5.0,3.72,1.8
04 01 2025 20:10,19.61,2.4,0.0
04 01 2025 20:20,1081.07,9.44,1264.3
04 01 2025 20:30,103.17,5.56,79.4
04 01 2025 20:40,336.59,7.82,529.6
04 01 2025 20:50,400.04,10.73,2181.91
04 01 2025 21:00,3413.54,22.54,3450.0
04 01 2025 21:20,10.69,3.1,0.0
04 01 2025 21:30,354.55,6.88,277.42
04 01 2025 21:40,192.65,6.71,242.23
04 01 2025 21:50,230.54,6.16,149.56
04 01 2025 22:00,586.99,8.07,618.44
04 01 2025 22:10,181.9,6.87,273.92
04 01 2025 22:20,186.52,5.73,96.63
04 01 2025 22:30,705.22,8.56,815.5
04 01 2025 22:40,10.5,4.92,33.47
04 01 2025 23:10,170.39,6.1,140.81
04 01 2025 23:20,-5.0,3.99,4.66
04 01 2025 23:50,-5.0,4.26,9.53
05 01 2025 00:00,33.98,4.32,10.86
05 01 2025 00:20,108.93,7.31,379.43
05 01 2025 00:30,17.32,4.37,12.04
05 01 2025 00:50,14.18,4.53,17.05
05 01 2025 01:00,1879.41,10.54,2027.7
05 01 2025 01:20,2361.42,11.47,2877.51
05 01 2025 01:30,83.8,4.57,18.42
05 01 2025 01:40,499.0,7.8,524.25
05 01 2025 02:00,118.75,8.1,626.95
05 01 2025 02:10,-5.0,1.63,0.0
05 01 2025 02:20,51.06,1.9,0.0
05 01 2025 02:30,767.18,8.76,903.94
05 01 2025 02:40,-5.0,3.28,0.1
05 01 2025 02:50,928.21,8.88,960.18
05 01 2025 03:00,63.85,5.85,109.46
05 01 2025 03:10,-0.17,3.27,0.09
05 01 2025 03:40,1172.76,11.75,3166.58
05 01 2025 03:50,95.27,5.64,86.77
05 01 2025 04:00,43.49,4.93,33.91
05 01 2025 04:10,564.39,7.83,533.27
05 01 2025 04:30,925.77,9.2,1125.8
05 01 2025 04:50,26.51,4.31,10.52
05 01 2025 05:10,1285.5,9.58,1348.86
05 01 2025 05:20,-5.0,2.16,0.0
05 01 2025 05:30,483.09,7.64,473.33
05 01 2025 05:40,468.88,7.23,359.19
05 01 2025 05:50,665.71,8.36,727.69
05 01 2025 06:00,2152.26,11.1,2513.81
05 01 2025 06:20,2967.65,11.83,3257.34
05 01 2025 06:30,2783.68,20.79,3450.0
05 01 2025 06:40,290.87,9.95,1588.85
05 01 2025 06:50,122.23,5.59,82.54
05 01 2025 07:30,1584.16,10.68,2140.29
05 01 2025 07:40,2429.45,11.16,2568.47
05 01 2025 07:50,2205.0,11.15,2565.57
05 01 2025 08:00,-5.0,2.57,0.0
05 01 2025 08:10,3088.56,13.28,3450.0
05 01 2025 08:20,270.13,6.93,286.68
05 01 2025 08:30,1045.86,9.07,1061.0
05 01 2025 08:40,2890.69,13.11,3450.0
05 01 2025 08:50,786.01,8.75,898.92
05 01 2025 09:00,94.18,6.16,148.65
05 01 2025 09:10,796.21,8.53,800.93
05 01 2025 09:20,3154.1,12.0,3450.0
05 01 2025 09:40,142.24,5.61,83.95
05 01 2025 09:50,-5.0,3.14,0.01
05 01 2025 10:00,-5.0,4.29,10.08
05 01 2025 10:10,2877.89,13.54,3450.0
05 01 2025 10:40,62.23,5.28,56.41
05 01 2025 10:50,48.03,5.06,41.31
05 01 2025 11:00,528.24,8.1,629.6
05 01 2025 11:10,72.83,4.83,29.12
05 01 2025 11:20,1040.8,9.32,1192.81
05 01 2025 11:30,1178.16,9.54,1321.17
05 01 2025 11:40,1965.46,10.62,2092.45
05 01 2025 12:00,1.88,4.2,8.12
05 01 2025 12:10,34.67,4.86,30.59
05 01 2025 12:20,986.9,8.79,920.84
05 01 2025 12:30,303.13,6.91,283.8
05 01 2025 12:40,276.31,6.26,163.33
05 01 2025 12:50,51.25,1.28,0.0
05 01 2025 13:00,-5.0,3.45,0.44
05 01 2025 13:10,100.86,6.54,209.72
05 01 2025 13:20,2115.02,11.68,3098.11
05 01 2025 13:30,2861.04,12.4,3450.0
05 01 2025 13:40,83.7,6.36,179.45
05 01 2025 13:50,602.21,7.8,522.09
05 01 2025 14:00,651.98,8.24,679.89
05 01 2025 14:10,74.78,4.72,24.01
05 01 2025 14:20,-5.0,2.74,0.0
05 01 2025 14:40,-5.0,5.24,53.01
05 01 2025 14:50,-5.0,4.48,15.38
05 01 2025 15:00,547.63,7.64,473.63
05 01 2025 15:10,534.08,8.24,680.5
05 01 2025 15:20,165.02,5.99,126.1
05 01 2025 15:30,471.98,7.55,446.17
05 01 2025 15:50,100.31,6.06,135.72
